"ano","uf","regiao","idade","racacor","categoria","obitos","nascidos"
"2015","AL","Nordeste",19,"Parda","I42",1,"51.774"
"2015","AL","Nordeste",19,"Parda","O13",1,"51.774"
"2015","AL","Nordeste",20,"Branca","K65",1,"51.774"
"2015","AL","Nordeste",43,"Parda","C26",1,"51.774"
"2015","AM","Norte",16,"Parda","I42",1,"79.531"
"2015","AM","Norte",17,"Parda","A16",1,"79.531"
"2015","AM","Norte",20,"Parda","C49",1,"79.531"
"2015","AM","Norte",20,"Parda","O96",1,"79.531"
"2015","AM","Norte",22,"Parda","O96",1,"79.531"
"2015","AM","Norte",24,"Parda","K80",1,"79.531"
"2015","AM","Norte",26,"Preta","A41",1,"79.531"
"2015","AM","Norte",26,"Preta","M32",1,"79.531"
"2015","AM","Norte",27,"Branca","O96",1,"79.531"
"2015","AM","Norte",28,"Parda","B20",1,"79.531"
"2015","AM","Norte",29,"Parda","G06",1,"79.531"
"2015","AM","Norte",32,"Ignorado","K80",1,"79.531"
"2015","AM","Norte",32,"Parda","R99",1,"79.531"
"2015","AM","Norte",33,"Branca","C43",1,"79.531"
"2015","AM","Norte",33,"Parda","C53",1,"79.531"
"2015","AM","Norte",38,"Parda","C53",1,"79.531"
"2015","AM","Norte",40,"Parda","C50",1,"79.531"
"2015","AM","Norte",40,"Parda","C69",1,"79.531"
"2015","AP","Norte",18,"Parda","O86",1,"17.100"
"2015","AP","Norte",19,"Parda","A41",1,"17.100"
"2015","AP","Norte",20,"Branca","O06",1,"17.100"
"2015","AP","Norte",33,"Indígena","I67",1,"17.100"
"2015","AP","Norte",36,"Branca","O96",1,"17.100"
"2015","BA","Nordeste",16,"Ignorado","O96",1,"204.207"
"2015","BA","Nordeste",21,"Preta","I00",1,"204.207"
"2015","BA","Nordeste",22,"Parda","G40",1,"204.207"
"2015","BA","Nordeste",22,"Preta","O96",1,"204.207"
"2015","BA","Nordeste",23,"Ignorado","B20",1,"204.207"
"2015","BA","Nordeste",24,"Branca","O96",1,"204.207"
"2015","BA","Nordeste",24,"Ignorado","B20",1,"204.207"
"2015","BA","Nordeste",26,"Parda","C95",1,"204.207"
"2015","BA","Nordeste",26,"Parda","O96",1,"204.207"
"2015","BA","Nordeste",27,"Branca","G93",1,"204.207"
"2015","BA","Nordeste",30,"Parda","O96",1,"204.207"
"2015","BA","Nordeste",31,"Ignorado","I61",1,"204.207"
"2015","BA","Nordeste",31,"Parda","O99",1,"204.207"
"2015","BA","Nordeste",32,"Parda","C71",1,"204.207"
"2015","BA","Nordeste",32,"Parda","O96",2,"204.207"
"2015","BA","Nordeste",33,"Parda","J90",1,"204.207"
"2015","BA","Nordeste",34,"Parda","O98",1,"204.207"
"2015","BA","Nordeste",35,"Parda","E86",1,"204.207"
"2015","BA","Nordeste",38,"Branca","O96",1,"204.207"
"2015","BA","Nordeste",39,"Parda","O96",1,"204.207"
"2015","BA","Nordeste",40,"Ignorado","O99",1,"204.207"
"2015","BA","Nordeste",40,"Parda","C18",1,"204.207"
"2015","BA","Nordeste",44,"Ignorado","O07",1,"204.207"
