"ano","uf","racacor","nascidos_vivos"
2015,"AC","Amarela",51
2015,"AC","Branca",988
2015,"AC","Ignorado",2506
2015,"AC","Indígena",840
2015,"AC","Parda",12310
2015,"AC","Preta",285
2015,"AL","Amarela",48
2015,"AL","Branca",3616
2015,"AL","Ignorado",2343
2015,"AL","Indígena",127
2015,"AL","Parda",45638
2015,"AL","Preta",485
2015,"AM","Amarela",42
2015,"AM","Branca",3140
2015,"AM","Ignorado",2091
2015,"AM","Indígena",6036
2015,"AM","Parda",68484
2015,"AM","Preta",286
2015,"AP","Amarela",11
2015,"AP","Branca",1685
2015,"AP","Ignorado",332
2015,"AP","Indígena",248
2015,"AP","Parda",12656
2015,"AP","Preta",815
2015,"BA","Amarela",727
2015,"BA","Branca",16373
2015,"BA","Ignorado",19846
2015,"BA","Indígena",666
2015,"BA","Parda",146321
2015,"BA","Preta",22710
2015,"CE","Amarela",260
2015,"CE","Branca",9533
2015,"CE","Ignorado",25463
2015,"CE","Indígena",289
2015,"CE","Parda",95921
2015,"CE","Preta",1049
2015,"DF","Amarela",177
2015,"DF","Branca",10299
2015,"DF","Ignorado",9846
2015,"DF","Indígena",33
2015,"DF","Parda",24481
2015,"DF","Preta",1286
2015,"ES","Amarela",97
2015,"ES","Branca",14155
2015,"ES","Ignorado",962
2015,"ES","Indígena",138
2015,"ES","Parda",39017
2015,"ES","Preta",2572
2015,"GO","Amarela",632
2015,"GO","Branca",24167
2015,"GO","Ignorado",14920
2015,"GO","Indígena",64
2015,"GO","Parda",57995
2015,"GO","Preta",2889
2015,"MA","Amarela",221
2015,"MA","Branca",10420
2015,"MA","Ignorado",6454
2015,"MA","Indígena",1318
2015,"MA","Parda",94276
2015,"MA","Preta",4867
2015,"MG","Amarela",1404
2015,"MG","Branca",88362
2015,"MG","Ignorado",20867
2015,"MG","Indígena",506
2015,"MG","Parda",137276
2015,"MG","Preta",19876
2015,"MS","Amarela",83
2015,"MS","Branca",15228
2015,"MS","Ignorado",976
2015,"MS","Indígena",1889
2015,"MS","Parda",25104
2015,"MS","Preta",862
2015,"MT","Amarela",220
2015,"MT","Branca",13770
2015,"MT","Ignorado",1257
2015,"MT","Indígena",1269
2015,"MT","Parda",37898
2015,"MT","Preta",2257
2015,"PA","Amarela",215
2015,"PA","Branca",9236
2015,"PA","Ignorado",5376
2015,"PA","Indígena",1318
2015,"PA","Parda",124784
2015,"PA","Preta",2726
2015,"PB","Amarela",173
2015,"PB","Branca",7287
2015,"PB","Ignorado",4882
2015,"PB","Indígena",175
2015,"PB","Parda",45950
2015,"PB","Preta",622
2015,"PE","Amarela",338
2015,"PE","Branca",27700
2015,"PE","Ignorado",1626
2015,"PE","Indígena",967
2015,"PE","Parda",108754
2015,"PE","Preta",5637
2015,"PI","Amarela",235
2015,"PI","Branca",5719
2015,"PI","Ignorado",2415
2015,"PI","Indígena",22
2015,"PI","Parda",38799
2015,"PI","Preta",2062
2015,"PR","Amarela",599
2015,"PR","Branca",121949
2015,"PR","Ignorado",1989
2015,"PR","Indígena",518
2015,"PR","Parda",32080
2015,"PR","Preta",3811
2015,"RJ","Amarela",615
2015,"RJ","Branca",82042
2015,"RJ","Ignorado",6846
2015,"RJ","Indígena",151
2015,"RJ","Parda",123936
2015,"RJ","Preta",23356
2015,"RN","Amarela",84
2015,"RN","Branca",12887
2015,"RN","Ignorado",4164
2015,"RN","Indígena",30
2015,"RN","Parda",30932
2015,"RN","Preta",1002
2015,"RO","Amarela",115
2015,"RO","Branca",6752
2015,"RO","Ignorado",1772
2015,"RO","Indígena",390
2015,"RO","Parda",17816
2015,"RO","Preta",1069
2015,"RR","Amarela",21
2015,"RR","Branca",774
2015,"RR","Ignorado",55
2015,"RR","Indígena",2532
2015,"RR","Parda",7841
2015,"RR","Preta",186
2015,"RS","Amarela",135
2015,"RS","Branca",122838
2015,"RS","Ignorado",1017
2015,"RS","Indígena",687
2015,"RS","Parda",13688
2015,"RS","Preta",9994
2015,"SC","Amarela",153
2015,"SC","Branca",82220
2015,"SC","Ignorado",3988
2015,"SC","Indígena",311
2015,"SC","Parda",7715
2015,"SC","Preta",2834
2015,"SE","Amarela",339
2015,"SE","Branca",3936
2015,"SE","Ignorado",844
2015,"SE","Indígena",74
2015,"SE","Parda",27962
2015,"SE","Preta",1762
2015,"SP","Amarela",3682
2015,"SP","Branca",364899
2015,"SP","Ignorado",11420
2015,"SP","Indígena",1114
2015,"SP","Parda",219538
2015,"SP","Preta",33364
2015,"TO","Amarela",170
2015,"TO","Branca",3129
2015,"TO","Ignorado",409
2015,"TO","Indígena",555
2015,"TO","Parda",19585
2015,"TO","Preta",1258
2015,NA,"Amarela",2
2015,NA,"Branca",19
2015,NA,"Ignorado",35
2015,NA,"Indígena",1
2015,NA,"Parda",45
2015,NA,"Preta",3
2016,"AC","Amarela",32
2016,"AC","Branca",1068
2016,"AC","Ignorado",1436
2016,"AC","Indígena",689
2016,"AC","Parda",12330
2016,"AC","Preta",218
2016,"AL","Amarela",67
2016,"AL","Branca",3051
2016,"AL","Ignorado",1079
2016,"AL","Indígena",144
2016,"AL","Parda",43351
2016,"AL","Preta",471
2016,"AM","Amarela",53
2016,"AM","Branca",2434
2016,"AM","Ignorado",1744
2016,"AM","Indígena",6756
2016,"AM","Parda",65431
2016,"AM","Preta",260
2016,"AP","Amarela",16
2016,"AP","Branca",2151
2016,"AP","Ignorado",256
2016,"AP","Indígena",306
2016,"AP","Parda",12098
2016,"AP","Preta",694
2016,"BA","Amarela",572
2016,"BA","Branca",14689
2016,"BA","Ignorado",15834
2016,"BA","Indígena",593
2016,"BA","Parda",145214
2016,"BA","Preta",22914
2016,"CE","Amarela",205
2016,"CE","Branca",9125
2016,"CE","Ignorado",25044
2016,"CE","Indígena",283
2016,"CE","Parda",90622
2016,"CE","Preta",966
2016,"DF","Amarela",332
2016,"DF","Branca",10501
2016,"DF","Ignorado",10862
2016,"DF","Indígena",47
2016,"DF","Parda",20136
2016,"DF","Preta",1462
2016,"ES","Amarela",109
2016,"ES","Branca",12585
2016,"ES","Ignorado",798
2016,"ES","Indígena",151
2016,"ES","Parda",37471
2016,"ES","Preta",2298
2016,"GO","Amarela",781
2016,"GO","Branca",22120
2016,"GO","Ignorado",13189
2016,"GO","Indígena",110
2016,"GO","Parda",56361
2016,"GO","Preta",2992
2016,"MA","Amarela",127
2016,"MA","Branca",9305
2016,"MA","Ignorado",4070
2016,"MA","Indígena",1218
2016,"MA","Parda",91484
2016,"MA","Preta",4285
2016,"MG","Amarela",1310
2016,"MG","Branca",82647
2016,"MG","Ignorado",19671
2016,"MG","Indígena",494
2016,"MG","Parda",130440
2016,"MG","Preta",18954
2016,"MS","Amarela",104
2016,"MS","Branca",14902
2016,"MS","Ignorado",83
2016,"MS","Indígena",2012
2016,"MS","Parda",24409
2016,"MS","Preta",922
2016,"MT","Amarela",186
2016,"MT","Branca",12770
2016,"MT","Ignorado",1779
2016,"MT","Indígena",1349
2016,"MT","Parda",34911
2016,"MT","Preta",2535
2016,"PA","Amarela",207
2016,"PA","Branca",8155
2016,"PA","Ignorado",4790
2016,"PA","Indígena",1310
2016,"PA","Parda",120730
2016,"PA","Preta",2487
2016,"PB","Amarela",169
2016,"PB","Branca",6274
2016,"PB","Ignorado",4912
2016,"PB","Indígena",116
2016,"PB","Parda",43947
2016,"PB","Preta",665
2016,"PE","Amarela",349
2016,"PE","Branca",23945
2016,"PE","Ignorado",1866
2016,"PE","Indígena",952
2016,"PE","Parda",98286
2016,"PE","Preta",5329
2016,"PI","Amarela",221
2016,"PI","Branca",5220
2016,"PI","Ignorado",2387
2016,"PI","Indígena",33
2016,"PI","Parda",37193
2016,"PI","Preta",1932
2016,"PR","Amarela",467
2016,"PR","Branca",117973
2016,"PR","Ignorado",1627
2016,"PR","Indígena",474
2016,"PR","Parda",31017
2016,"PR","Preta",3508
2016,"RJ","Amarela",485
2016,"RJ","Branca",76491
2016,"RJ","Ignorado",3374
2016,"RJ","Indígena",145
2016,"RJ","Parda",114665
2016,"RJ","Preta",23964
2016,"RN","Amarela",88
2016,"RN","Branca",11787
2016,"RN","Ignorado",4510
2016,"RN","Indígena",39
2016,"RN","Parda",28074
2016,"RN","Preta",867
2016,"RO","Amarela",96
2016,"RO","Branca",5609
2016,"RO","Ignorado",2777
2016,"RO","Indígena",403
2016,"RO","Parda",16897
2016,"RO","Preta",818
2016,"RR","Amarela",35
2016,"RR","Branca",787
2016,"RR","Ignorado",18
2016,"RR","Indígena",2757
2016,"RR","Parda",7487
2016,"RR","Preta",291
2016,"RS","Amarela",153
2016,"RS","Branca",116961
2016,"RS","Ignorado",730
2016,"RS","Indígena",670
2016,"RS","Parda",13215
2016,"RS","Preta",9682
2016,"SC","Amarela",94
2016,"SC","Branca",80101
2016,"SC","Ignorado",3344
2016,"SC","Indígena",301
2016,"SC","Parda",8527
2016,"SC","Preta",2945
2016,"SE","Amarela",297
2016,"SE","Branca",3174
2016,"SE","Ignorado",793
2016,"SE","Indígena",64
2016,"SE","Parda",26212
2016,"SE","Preta",1678
2016,"SP","Amarela",3675
2016,"SP","Branca",343480
2016,"SP","Ignorado",7700
2016,"SP","Indígena",925
2016,"SP","Parda",212025
2016,"SP","Preta",33616
2016,"TO","Amarela",188
2016,"TO","Branca",2876
2016,"TO","Ignorado",289
2016,"TO","Indígena",488
2016,"TO","Parda",18740
2016,"TO","Preta",1288
2016,NA,"Amarela",0
2016,NA,"Branca",11
2016,NA,"Ignorado",23
2016,NA,"Indígena",8
2016,NA,"Parda",48
2016,NA,"Preta",6
2017,"AC","Amarela",60
2017,"AC","Branca",1103
2017,"AC","Ignorado",786
2017,"AC","Indígena",842
2017,"AC","Parda",13352
2017,"AC","Preta",215
2017,"AL","Amarela",114
2017,"AL","Branca",3316
2017,"AL","Ignorado",4608
2017,"AL","Indígena",195
2017,"AL","Parda",41660
2017,"AL","Preta",475
2017,"AM","Amarela",149
2017,"AM","Branca",3248
2017,"AM","Ignorado",723
2017,"AM","Indígena",7378
2017,"AM","Parda",66103
2017,"AM","Preta",448
2017,"AP","Amarela",8
2017,"AP","Branca",2226
2017,"AP","Ignorado",178
2017,"AP","Indígena",307
2017,"AP","Parda",11823
2017,"AP","Preta",857
2017,"BA","Amarela",770
2017,"BA","Branca",14850
2017,"BA","Ignorado",15938
2017,"BA","Indígena",771
2017,"BA","Parda",147575
2017,"BA","Preta",24182
2017,"CE","Amarela",236
2017,"CE","Branca",8856
2017,"CE","Ignorado",28301
2017,"CE","Indígena",264
2017,"CE","Parda",89151
2017,"CE","Preta",989
2017,"DF","Amarela",368
2017,"DF","Branca",9693
2017,"DF","Ignorado",12818
2017,"DF","Indígena",80
2017,"DF","Parda",19688
2017,"DF","Preta",1921
2017,"ES","Amarela",116
2017,"ES","Branca",13580
2017,"ES","Ignorado",611
2017,"ES","Indígena",123
2017,"ES","Parda",38685
2017,"ES","Preta",2731
2017,"GO","Amarela",954
2017,"GO","Branca",23692
2017,"GO","Ignorado",10666
2017,"GO","Indígena",118
2017,"GO","Parda",58421
2017,"GO","Preta",3664
2017,"MA","Amarela",164
2017,"MA","Branca",9368
2017,"MA","Ignorado",5221
2017,"MA","Indígena",1550
2017,"MA","Parda",92361
2017,"MA","Preta",4317
2017,"MG","Amarela",1881
2017,"MG","Branca",87942
2017,"MG","Ignorado",9301
2017,"MG","Indígena",494
2017,"MG","Parda",140653
2017,"MG","Preta",20686
2017,"MS","Amarela",132
2017,"MS","Branca",16598
2017,"MS","Ignorado",53
2017,"MS","Indígena",2181
2017,"MS","Parda",24704
2017,"MS","Preta",1079
2017,"MT","Amarela",240
2017,"MT","Branca",13597
2017,"MT","Ignorado",1098
2017,"MT","Indígena",1478
2017,"MT","Parda",38062
2017,"MT","Preta",2793
2017,"PA","Amarela",276
2017,"PA","Branca",7771
2017,"PA","Ignorado",4089
2017,"PA","Indígena",1371
2017,"PA","Parda",122430
2017,"PA","Preta",2745
2017,"PB","Amarela",146
2017,"PB","Branca",6951
2017,"PB","Ignorado",4236
2017,"PB","Indígena",223
2017,"PB","Parda",45166
2017,"PB","Preta",771
2017,"PE","Amarela",420
2017,"PE","Branca",26649
2017,"PE","Ignorado",2197
2017,"PE","Indígena",991
2017,"PE","Parda",99620
2017,"PE","Preta",6029
