"ano","uf","nascidos","racacor","nascidos_racacor","sigla_uf"
2015,"Acre",16980,"Branca",988,"AC"
2015,"Acre",16980,"Amarela",51,"AC"
2015,"Acre",16980,"Indígena",840,"AC"
2015,"Acre",16980,"Preta",285,"AC"
2015,"Acre",16980,"Parda",12310,"AC"
2015,"Acre",16980,"Ignorado",2506,"AC"
2015,"Alagoas",52257,"Branca",3616,"AL"
2015,"Alagoas",52257,"Amarela",48,"AL"
2015,"Alagoas",52257,"Indígena",127,"AL"
2015,"Alagoas",52257,"Preta",485,"AL"
2015,"Alagoas",52257,"Parda",45638,"AL"
2015,"Alagoas",52257,"Ignorado",2343,"AL"
2015,"Amazonas",80079,"Branca",3140,"AM"
2015,"Amazonas",80079,"Amarela",42,"AM"
2015,"Amazonas",80079,"Indígena",6036,"AM"
2015,"Amazonas",80079,"Preta",286,"AM"
2015,"Amazonas",80079,"Parda",68484,"AM"
2015,"Amazonas",80079,"Ignorado",2091,"AM"
2015,"Amapá",15747,"Branca",1685,"AP"
2015,"Amapá",15747,"Amarela",11,"AP"
2015,"Amapá",15747,"Indígena",248,"AP"
2015,"Amapá",15747,"Preta",815,"AP"
2015,"Amapá",15747,"Parda",12656,"AP"
2015,"Amapá",15747,"Ignorado",332,"AP"
2015,"Bahia",206643,"Branca",16373,"BA"
2015,"Bahia",206643,"Amarela",727,"BA"
2015,"Bahia",206643,"Indígena",666,"BA"
2015,"Bahia",206643,"Preta",22710,"BA"
2015,"Bahia",206643,"Parda",146321,"BA"
2015,"Bahia",206643,"Ignorado",19846,"BA"
2015,"Ceará",132515,"Branca",9533,"CE"
2015,"Ceará",132515,"Amarela",260,"CE"
2015,"Ceará",132515,"Indígena",289,"CE"
2015,"Ceará",132515,"Preta",1049,"CE"
2015,"Ceará",132515,"Parda",95921,"CE"
2015,"Ceará",132515,"Ignorado",25463,"CE"
2015,"Distrito Federal",46122,"Branca",10299,"DF"
2015,"Distrito Federal",46122,"Amarela",177,"DF"
2015,"Distrito Federal",46122,"Indígena",33,"DF"
2015,"Distrito Federal",46122,"Preta",1286,"DF"
2015,"Distrito Federal",46122,"Parda",24481,"DF"
2015,"Distrito Federal",46122,"Ignorado",9846,"DF"
2015,"Espírito Santo",56941,"Branca",14155,"ES"
2015,"Espírito Santo",56941,"Amarela",97,"ES"
2015,"Espírito Santo",56941,"Indígena",138,"ES"
2015,"Espírito Santo",56941,"Preta",2572,"ES"
2015,"Espírito Santo",56941,"Parda",39017,"ES"
2015,"Espírito Santo",56941,"Ignorado",962,"ES"
2015,"Goiás",100667,"Branca",24167,"GO"
2015,"Goiás",100667,"Amarela",632,"GO"
2015,"Goiás",100667,"Indígena",64,"GO"
2015,"Goiás",100667,"Preta",2889,"GO"
2015,"Goiás",100667,"Parda",57995,"GO"
2015,"Goiás",100667,"Ignorado",14920,"GO"
2015,"Maranhão",117556,"Branca",10420,"MA"
2015,"Maranhão",117556,"Amarela",221,"MA"
2015,"Maranhão",117556,"Indígena",1318,"MA"
2015,"Maranhão",117556,"Preta",4867,"MA"
2015,"Maranhão",117556,"Parda",94276,"MA"
2015,"Maranhão",117556,"Ignorado",6454,"MA"
2015,"Minas Gerais",268291,"Branca",88362,"MG"
2015,"Minas Gerais",268291,"Amarela",1404,"MG"
2015,"Minas Gerais",268291,"Indígena",506,"MG"
2015,"Minas Gerais",268291,"Preta",19876,"MG"
2015,"Minas Gerais",268291,"Parda",137276,"MG"
2015,"Minas Gerais",268291,"Ignorado",20867,"MG"
2015,"Mato Grosso do Sul",44142,"Branca",15228,"MS"
2015,"Mato Grosso do Sul",44142,"Amarela",83,"MS"
2015,"Mato Grosso do Sul",44142,"Indígena",1889,"MS"
2015,"Mato Grosso do Sul",44142,"Preta",862,"MS"
2015,"Mato Grosso do Sul",44142,"Parda",25104,"MS"
2015,"Mato Grosso do Sul",44142,"Ignorado",976,"MS"
2015,"Mato Grosso",56671,"Branca",13770,"MT"
2015,"Mato Grosso",56671,"Amarela",220,"MT"
2015,"Mato Grosso",56671,"Indígena",1269,"MT"
2015,"Mato Grosso",56671,"Preta",2257,"MT"
2015,"Mato Grosso",56671,"Parda",37898,"MT"
2015,"Mato Grosso",56671,"Ignorado",1257,"MT"
2015,"Pará",143655,"Branca",9236,"PA"
2015,"Pará",143655,"Amarela",215,"PA"
2015,"Pará",143655,"Indígena",1318,"PA"
2015,"Pará",143655,"Preta",2726,"PA"
2015,"Pará",143655,"Parda",124784,"PA"
2015,"Pará",143655,"Ignorado",5376,"PA"
2015,"Paraíba",59089,"Branca",7287,"PB"
2015,"Paraíba",59089,"Amarela",173,"PB"
2015,"Paraíba",59089,"Indígena",175,"PB"
2015,"Paraíba",59089,"Preta",622,"PB"
2015,"Paraíba",59089,"Parda",45950,"PB"
2015,"Paraíba",59089,"Ignorado",4882,"PB"
2015,"Pernambuco",145022,"Branca",27700,"PE"
2015,"Pernambuco",145022,"Amarela",338,"PE"
2015,"Pernambuco",145022,"Indígena",967,"PE"
2015,"Pernambuco",145022,"Preta",5637,"PE"
2015,"Pernambuco",145022,"Parda",108754,"PE"
